,이름,형태소
733,포함,NNG
734,25000원,NNG
735,7500원,NNG
736,계산서,NNG
737,차게,NNG
738,뒷자리,NNG
739,7시,NNG
740,30잔,NNG
741,12만,NNG
742,CJ,NNG
743,one,NNG
744,쪽,NNG
745,점,NNG
746,프리쿠폰,NNG
747,쇼케이스,NNG
748,병음료,NNG
749,3700원,NNG
750,한가지,NNG
751,거품,NNG
752,안쪽,NNG
753,화장지,NNG
754,5800원,NNG
755,소진,NNG
756,증,NNG
757,발급,NNG
758,오렌지,NNG
759,추가금,NNG
760,에이드,NNG
761,제로,NNG
762,가맹점,NNG
763,지연,NNG
764,3분,NNG
765,옥수수빵,NNG
766,거스름돈,NNG
767,출입문,NNG
768,탁자,NNG
769,컵케이크,NNG
770,17000원,NNG
771,낮,NNG
772,서비스,NNG
773,이번,NNG
774,주,NNG
775,진행,NNG
776,15분,NNG
777,소요,NNG
778,대기인원,NNG
779,3팀,NNG
780,스파클링,NNG
781,3400원,NNG
782,오미자,NNG
783,5400원,NNG
784,안내,NNG
785,개인,NNG
786,지참,NNG
787,갈아,NNG
788,갈고,NNG
789,4900원,NNG
790,6100원,NNG
791,리코다,NNG
792,멜팅,NNG
793,12000원,NNG
794,셀프,NNG
795,리필,NNG
796,바나나,NNG
797,4300원,NNG
798,가나슈,NNG
799,레큘러,NNG
800,4700원,NNG
801,나무,NNG
802,브라질,NNG
803,표인트,NNG
804,딜라이트,NNG
805,오천육백원,NNG
806,추가요금,NNG
807,4600원,NNG
808,슈거,NNG
809,버블티,NNG
810,문자,NNG
811,티슈,NNG
812,5잔,NNG
813,아가,NNG
814,슈크림,NNG
815,HOT,NNG
816,8600원,NNG
817,네이버,NNG
818,13100원,NNG
819,5900원,NNG
820,처리,NNG
821,4천6백,NNG
822,국수,NNG
823,식사,NNG
824,소량,NNG
825,보리찰떡,NNG
826,팥,NNG
827,시나몬,NNG
828,콩빵,NNG
829,초코라떼,NNG
830,쌀라떼,NNG
831,곡물라떼,NNG
832,사진,NNG
833,어디,NNG
834,첫,NNG
835,번째,NNG
836,육천백,NNG
837,티바나,NNG
838,라임티,NNG
839,플래시,NNG
840,구콘,NNG
841,반대,NNG
842,쉬는,NNG
843,날,NNG
844,주말,NNG
845,로스팅,NNG
846,회원카드,NNG
847,교통카드,NNG
848,회원비,NNG
849,혜택,NNG
850,등급,NNG
851,별,NNG
852,빈도수,NNG
853,비례,NNG
854,저렴,NNG
855,카라멜,NNG
